"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"13",6,185,"CHI","DeAndre Houston-Carson","S",23,2020,3,53,2016,5.56,73,30.125,201,9.125,4.54,13,32.5,115,7.15,7,4,6,8,7,5,6,5,NA,"William & Mary",25,NA,NA,0.471698113207547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"14",6,204,"MIA","Jordan Lucas","S",23,2019,4,49,2016,5.11,72,30.125,201,10,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,35,"Penn St.",29,1,1,0.591836734693878,0.0204081632653061,0.0204081632653061,119,62,11,4,3,37,0,25,0,3,3.4,1.77142857142857,5.17142857142857,0.314285714285714,0.114285714285714,0.714285714285714,0.0857142857142857,0.0857142857142857,1
"15",6,212,"DAL","Kavon Frazier","S",22,2020,3,48,2016,5.37,72,32.25,217,9,NA,18,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,49,"Central Michigan",48,NA,1,1,0.0208333333333333,NA,144,89,4.5,0,5,79,1,13,3,3,2.93877551020408,1.81632653061224,4.75510204081633,0.0918367346938776,0,0.26530612244898,0.0612244897959184,0.102040816326531,0.75
"16",6,219,"DEN","Will Parks","S",22,2019,9,62,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",104,4,1,1.67741935483871,0.0161290322580645,0.0645161290322581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25
"17",7,233,"PHI","Jalen Mills","S",22,2020,15,53,2016,5.39,72,31.125,191,9.125,4.61,16,37,123,6.86,7,5,1,3,3,2,2,2,45,"LSU",189,4,1.5,3.56603773584906,0.0283018867924528,0.0754716981132075,134,82,8,4,6,12,0,11,1,0,2.97777777777778,1.82222222222222,4.8,0.177777777777778,0.0888888888888889,0.244444444444444,0,0.133333333333333,3.75
"18",7,244,"MIN","Jayron Kearse","S",22,2020,5,63,2016,5.39,76,34.25,216,9.625,4.62,16,31.5,124,7.06,3,3,3,4,1,1,NA,NA,39,"Clemson",59,1,0.5,0.936507936507937,0.00793650793650794,0.0158730158730159,116,48,11.5,3,7,83,0,11,2,2,2.97435897435897,1.23076923076923,4.20512820512821,0.294871794871795,0.0769230769230769,0.282051282051282,0.0512820512820513,0.179487179487179,1.25
"19",7,245,"CIN","Clayton Fejedelem","S",23,2020,7,66,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Illinois",78,1,NA,1.18181818181818,NA,0.0151515151515152,101,88,5.5,0,2,18,0,9,1,1,4.20833333333333,3.66666666666667,7.875,0.229166666666667,0,0.375,0.0416666666666667,0.0833333333333333,1.75
"20",1,6,"NYJ","Jamal Adams","S",21,2020,28,49,2017,6.6,72,33.375,214,9.25,4.56,18,31.5,120,6.96,NA,NA,NA,NA,NA,NA,NA,NA,36,"LSU",224,2,14,4.57142857142857,0.285714285714286,0.0408163265306122,128,81,18,2,5,30,0,14,2,2,3.55555555555556,2.25,5.80555555555556,0.5,0.0555555555555556,0.388888888888889,0.0555555555555556,0.138888888888889,9.33333333333333
"21",1,15,"IND","Malik Hooker","S",21,2020,13,36,2017,6.7,73,32.25,206,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Ohio St.",81,7,NA,2.25,NA,0.194444444444444,49,35,5.5,0.5,7,181,3,4,0,0,2.57894736842105,1.84210526315789,4.42105263157895,0.289473684210526,0.0263157894736842,0.210526315789474,0,0.368421052631579,4.33333333333333
"22",1,25,"CLE","Jabrill Peppers","S",21,2020,14,44,2017,6.14,71,30.75,213,9.625,4.46,19,35.5,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Michigan",156,3,1,3.54545454545455,0.0227272727272727,0.0681818181818182,86,33,18.5,3,1,11,0,11,0,0,3.18518518518519,1.22222222222222,4.40740740740741,0.685185185185185,0.111111111111111,0.407407407407407,0,0.037037037037037,4.66666666666667
