"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"21",1,4,"JAX","Leonard Fournette","RB",22,2020,20,40,2017,7.15,72,31.625,240,9.25,4.51,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.525,26.075,0.05,17.25,68.85,0.475,32,690,2754,141,1043,2,"LSU",3.99130434782609,616,3830,40,41,526,1,7.39716312056738,12.8,6.2,657,NA,41,4356,6.6,1.28125,16.4375,0.03125,19.25,119.6875,1.25,136.125,1.28125,6.66666666666667
"22",1,8,"CAR","Christian McCaffrey","RB",21,2020,38,50,2017,5.93,71,30,202,9,4.48,10,37.5,121,6.57,NA,NA,NA,NA,NA,NA,NA,NA,6.2,51.8,0.3,13.28,61.52,0.56,37,664,3076,310,2590,15,"Stanford",4.63253012048193,632,3922,21,99,1206,10,8.35483870967742,12.2,6.2,731,NA,31,5128,7,2.67567567567568,32.5945945945946,0.27027027027027,17.0810810810811,106,0.567567567567568,138.594594594595,0.837837837837838,12.6666666666667
"23",2,41,"MIN","Dalvin Cook","RB",22,2020,23,34,2017,6.54,70,32.375,210,9.25,4.49,22,30.5,116,7.27,NA,NA,NA,NA,NA,NA,NA,NA,3.41176470588235,28.7647058823529,0.0588235294117647,16.1470588235294,76.2647058823529,0.705882352941177,38,549,2593,116,978,2,"Florida St.",4.72313296903461,687,4464,46,79,935,2,8.43103448275862,11.8,6.5,766,NA,48,5399,7,2.07894736842105,24.6052631578947,0.0526315789473684,18.0789473684211,117.473684210526,1.21052631578947,142.078947368421,1.26315789473684,7.66666666666667
"24",2,48,"CIN","Joe Mixon","RB",21,2020,24,49,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59183673469388,20.265306122449,0.102040816326531,16.2040816326531,67.4489795918367,0.387755102040816,25,794,3305,127,993,5,"Oklahoma",4.1624685138539,300,2027,17,65,894,9,7.81889763779528,13.8,6.8,365,NA,26,2921,8,2.6,35.76,0.36,12,81.08,0.68,116.84,1.04,8
"25",3,67,"NOR","Alvin Kamara","RB",22,2020,41,50,2017,6.02,70,32.75,214,9.25,4.56,15,39.5,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,49.26,0.26,10.92,53.78,0.62,14,546,2689,281,2463,13,"Tennessee",4.92490842490843,210,1294,16,74,683,7,8.76512455516014,9.2,6.2,284,NA,23,1977,7,5.28571428571429,48.7857142857143,0.5,15,92.4285714285714,1.14285714285714,141.214285714286,1.64285714285714,13.6666666666667
"26",3,86,"KAN","Kareem Hunt","RB",22,2020,28,40,2017,5.52,70,31.375,216,9.625,4.62,18,36.5,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,29.525,0.35,14.15,66.925,0.5,44,566,2677,127,1181,14,"Toledo",4.72968197879859,782,4945,44,73,555,1,9.2992125984252,7.6,6.3,855,NA,45,5500,6.4,1.65909090909091,12.6136363636364,0.0227272727272727,17.7727272727273,112.386363636364,1,125,1.02272727272727,9.33333333333333
"27",3,89,"HOU","D'Onta Foreman","RB",21,2018,3,11,2017,5.76,72,31.375,233,10.125,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727272727272727,10.0909090909091,0.0909090909090909,7.72727272727273,29.6363636363636,0.181818181818182,27,85,326,8,111,1,"Texas",3.83529411764706,431,2774,20,13,146,0,13.875,11.2,6.4,444,NA,20,2920,6.6,0.481481481481481,5.40740740740741,0,15.962962962963,102.740740740741,0.740740740740741,108.148148148148,0.740740740740741,1
"28",3,105,"PIT","James Conner","RB",22,2020,16,41,2017,5.4,73,31.25,233,9.875,4.65,20,29,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4390243902439,20.2439024390244,0.0975609756097561,10.1951219512195,45.0975609756098,0.463414634146341,39,418,1849,100,830,4,"Pittsburgh",4.42344497607655,668,3733,52,30,412,4,8.3,13.7,5.6,698,NA,56,4145,5.9,0.769230769230769,10.5641025641026,0.102564102564103,17.1282051282051,95.7179487179487,1.33333333333333,106.282051282051,1.43589743589744,5.33333333333333
"29",4,114,"WAS","Samaje Perine","RB",21,2020,5,33,2017,5.64,71,30.375,233,10,4.65,30,33,116,7.26,NA,NA,NA,NA,NA,NA,NA,NA,0.757575757575758,5.66666666666667,0.0303030303030303,5.6969696969697,19.7272727272727,0.0303030303030303,36,188,651,25,187,1,"Oklahoma",3.46276595744681,685,4122,49,40,321,2,7.48,8,6,725,NA,51,4443,6.1,1.11111111111111,8.91666666666667,0.0555555555555556,19.0277777777778,114.5,1.36111111111111,123.416666666667,1.41666666666667,1.66666666666667
"30",4,119,"CHI","Tarik Cohen","RB",22,2020,20,51,2017,5.49,66,29.75,179,10.125,4.42,11,31.5,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09803921568627,30.8823529411765,0.176470588235294,5.17647058823529,21.5882352941176,0.0980392156862745,NA,264,1101,209,1575,9,"North Carolina A&T",4.17045454545455,NA,NA,NA,NA,NA,NA,7.53588516746411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667
