"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"30",3,98,"HOU","Jordan Akins","TE",26,2020,6,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,0,67,811,3,"Central Florida",NA,0,0,0,81,1149,8,1.86111111111111,22.5277777777778,0.0833333333333333,0,0,0,12.1044776119403,14.2,NA,81,NA,8,1149,14.2,2.38235294117647,33.7941176470588,0.235294117647059,0,0,0,33.7941176470588,0.235294117647059,3
"31",4,101,"CAR","Ian Thomas","TE",22,2020,4,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,57,499,4,"Indiana",NA,0,0,0,28,404,5,1.54054054054054,13.4864864864865,0.108108108108108,0,0,0,8.75438596491228,14.4,NA,28,NA,5,404,14.4,2.54545454545455,36.7272727272727,0.454545454545455,0,0,0,36.7272727272727,0.454545454545455,2
"32",4,107,"NYJ","Chris Herndon","TE",22,2020,4,22,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,53,607,4,"Miami (FL)",NA,NA,NA,NA,NA,NA,NA,2.40909090909091,27.5909090909091,0.181818181818182,0,0,0,11.4528301886792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33",4,120,"SEA","Will Dissly","TE",22,2020,4,15,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,7,39,474,7,"Washington",7,0,0,0,25,336,3,2.6,31.6,0.466666666666667,0.0666666666666667,0.466666666666667,0,12.1538461538462,13.4,NA,25,NA,3,336,13.4,1.04166666666667,14,0.125,0,0,0,14,0.125,2
"34",4,123,"MIA","Durham Smythe","TE",22,2020,0,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,16,152,0,"Notre Dame",NA,0,0,0,28,381,6,0.457142857142857,4.34285714285714,0,0,0,0,9.5,13.6,NA,28,NA,6,381,13.6,1.27272727272727,17.3181818181818,0.272727272727273,0,0,0,17.3181818181818,0.272727272727273,0
"35",4,137,"DAL","Dalton Schultz","TE",22,2020,1,32,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0,0,32,347,2,"Stanford",NA,0,0,0,55,555,5,1,10.84375,0.0625,0,0,0,10.84375,10.1,NA,55,NA,5,555,10.1,1.66666666666667,16.8181818181818,0.151515151515152,0,0,0,16.8181818181818,0.151515151515152,0.5
"36",5,156,"DEN","Troy Fumagalli","TE",23,2019,0,11,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0,0,6,38,1,"Wisconsin",NA,0,0,0,135,1627,7,0.545454545454545,3.45454545454545,0.0909090909090909,0,0,0,6.33333333333333,12.1,NA,135,NA,7,1627,12.1,2.87234042553191,34.6170212765957,0.148936170212766,0,0,0,34.6170212765957,0.148936170212766,0
"37",5,157,"MIN","Tyler Conklin","TE",23,2020,2,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,0,13,135,0,"Central Michigan",NA,0,0,0,83,1159,11,0.361111111111111,3.75,0,0,0,0,10.3846153846154,14,NA,83,NA,11,1159,14,2.96428571428571,41.3928571428571,0.392857142857143,0,0,0,41.3928571428571,0.392857142857143,1
"38",5,165,"PIT","Jaylen Samuels","TE",22,2020,6,32,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,124,434,75,509,4,"North Carolina St.",3.5,182,1107,28,201,1851,19,2.34375,15.90625,0.125,3.875,13.5625,0.03125,6.78666666666667,9.2,6.1,383,NA,47,2958,7.7,4.02,37.02,0.38,3.64,22.14,0.56,59.16,0.94,3
"39",6,211,"HOU","Jordan Thomas","TE",22,2020,2,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,22,226,5,"Mississippi St.",NA,0,0,0,31,311,4,0.916666666666667,9.41666666666667,0.208333333333333,0,0,0,10.2727272727273,10,NA,31,NA,4,311,10,1.72222222222222,17.2777777777778,0.222222222222222,0,0,0,17.2777777777778,0.222222222222222,1
"40",7,250,"NWE","Ryan Izzo","TE",22,2020,1,10,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,0,9,158,1,"Florida St.",NA,0,0,0,54,761,6,0.9,15.8,0.1,0,0,0,17.5555555555556,14.1,NA,54,NA,6,761,14.1,1.86206896551724,26.2413793103448,0.206896551724138,0,0,0,26.2413793103448,0.206896551724138,0.5
