"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"22",6,186,"MIA","Jakeem Grant","WR",23,2020,9,57,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,11,40,62,723,4,"Texas Tech",3.63636363636364,1.08771929824561,12.6842105263158,0.0701754385964912,0.192982456140351,0.701754385964912,0.0175438596491228,33,199,2,254,3286,27,11.6612903225806,12.9,6,287,NA,29,3485,12.1,5.18367346938776,67.0612244897959,0.551020408163265,0.673469387755102,4.06122448979592,0.0408163265306122,71.1224489795918,0.591836734693878,2.25
"23",6,192,"BUF","Kolby Listenbee","WR",22,NA,NA,NA,2016,5.07,72,31.375,197,8.25,4.39,15,35.5,129,NA,41,2,11,11,4,NA,NA,NA,34,NA,NA,NA,NA,NA,"TCU",NA,NA,NA,NA,NA,NA,NA,3,30,0,74,1432,9,NA,19.4,10,77,NA,9,1462,19,2.17647058823529,42.1176470588235,0.264705882352941,0.0882352941176471,0.882352941176471,0,43,0.264705882352941,NA
"24",6,199,"CIN","Cody Core","WR",22,2019,3,51,2016,4.9,75,32,205,10.375,4.47,14,31.5,119,NA,5,7,14,34,25,NA,NA,NA,44,0,0,33,388,1,"Mississippi",NA,0.647058823529412,7.6078431372549,0.0196078431372549,0,0,0,5,87,0,83,1297,10,11.7575757575758,15.6,17.4,88,NA,10,1384,15.7,1.88636363636364,29.4772727272727,0.227272727272727,0.113636363636364,1.97727272727273,0,31.4545454545455,0.227272727272727,0.75
"25",6,206,"LAR","Mike Thomas","WR",22,2020,1,45,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,212,1,"Southern Miss",1,0.444444444444444,4.71111111111111,0.0222222222222222,0.0222222222222222,0.0222222222222222,0,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
"26",6,213,"SFO","Aaron Burbridge","WR",22,2016,1,16,2016,5.44,72,31.625,206,8.25,4.56,20,30.5,115,7.22,41,20,1,38,34,24,18,18,46,0,0,7,88,0,"Michigan St.",NA,0.4375,5.5,0,0,0,0,22,149,0,165,2174,10,12.5714285714286,13.2,6.8,187,NA,10,2323,12.4,3.58695652173913,47.2608695652174,0.217391304347826,0.478260869565217,3.23913043478261,0,50.5,0.217391304347826,0.25
"27",7,225,"NWE","Devin Lucien","WR",23,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,"Arizona St.",NA,NA,NA,NA,NA,NA,NA,2,37,0,124,1826,12,NA,14.7,18.5,126,NA,12,1863,14.8,2.95238095238095,43.4761904761905,0.285714285714286,0.0476190476190476,0.880952380952381,0,44.3571428571429,0.285714285714286,NA
"28",7,229,"PIT","Demarcus Ayers","WR",22,2016,0,2,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,-12,6,53,1,"Houston",-6,3,26.5,0.5,1,-6,0,28,152,1,141,1686,9,8.83333333333333,12,5.4,169,NA,10,1838,10.9,3.525,42.15,0.225,0.7,3.8,0.025,45.95,0.25,0
"29",7,230,"CHI","Daniel Braverman","WR",22,2016,0,3,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,0,0,0,0,"West. Michigan",NA,0,0,0,0,0,0,12,76,2,212,2499,19,NA,11.8,6.3,224,NA,21,2575,11.5,5.72972972972973,67.5405405405405,0.513513513513513,0.324324324324324,2.05405405405405,0.0540540540540541,69.5945945945946,0.567567567567568,0
"30",7,238,"ATL","Devin Fuller","WR",22,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,"UCLA",NA,NA,NA,NA,NA,NA,NA,6,6,1,146,1322,10,NA,9.1,1,152,NA,11,1328,8.7,3.31818181818182,30.0454545454545,0.227272727272727,0.136363636363636,0.136363636363636,0.0227272727272727,30.1818181818182,0.25,NA
"31",7,241,"NYJ","Charone Peake","WR",23,2018,1,31,2016,5.88,74,34,209,9.25,4.45,12,35.5,122,6.96,28,5,22,11,21,15,25,13,49,0,0,22,214,0,"Clemson",NA,0.709677419354839,6.90322580645161,0,0,0,0,2,-9,0,99,1172,10,9.72727272727273,11.8,-4.5,101,NA,10,1163,11.5,2.02040816326531,23.9183673469388,0.204081632653061,0.0408163265306122,-0.183673469387755,0,23.734693877551,0.204081632653061,0.25
