"","Rnd","NFLINTTD","NFLYPA","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","NFL.att.pg","NFL.comp.pg","NFL.passint.pg","NFL.passtd.pg","NFL.passing.pg","Passing Cmp","Passing Att","Passing Yds","Passing TD","Passing Int","Rushing Att","Rushing Yds","College/Univ","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College.Completions","College.Passing.Attempts","College.Completion.Rate","College.Passing.Yards","College.Yards.Per.Attempt","College.Adjusted.YPA","College.Passing.Touchdowns","College.Passing.Interceptions","College.Passer.Rating","college.passing.pg","college.att.pg","college.comp.pg","college.passtd.pg","college.passint.pg","ValuePerYear"
"23",5,0.25,4.21538461538462,171,"BUF","Nathan Peterman","QB",23,2018,2,8,16.25,8.5,1.5,0.375,68.5,68,130,548,3,12,17,73,"Pittsburgh",2017,5.85,74,32,226,9.875,4.82,NA,31,110,7.14,NA,NA,NA,NA,NA,NA,NA,NA,35,398,662,60.1,5236,7.9,8.2,47,17,144.9,149.6,18.9142857142857,11.3714285714286,1.34285714285714,0.485714285714286,0.666666666666667
"24",6,NA,NA,215,"DET","Brad Kaaya","QB",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miami (FL)",2017,5.62,76,32,214,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,720,1188,60.6,9968,8.4,8.6,69,24,146.2,262.315789473684,31.2631578947368,18.9473684210526,1.81578947368421,0.631578947368421,NA
"25",7,NA,NA,253,"DEN","Chad Kelly","QB",23,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,"Mississippi",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,513,803,63.9,6858,8.5,8.6,50,21,150.9,254,29.7407407407407,19,1.85185185185185,0.777777777777778,0
"26",1,1.48717948717949,7.27645051194539,1,"CLE","Baker Mayfield","QB",23,2020,21,35,33.4857142857143,20.5714285714286,1.11428571428571,1.65714285714286,243.657142857143,720,1172,8528,58,39,78,304,"Oklahoma",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1026,1497,68.5,14607,9.8,10.6,131,30,175.4,304.3125,31.1875,21.375,2.72916666666667,0.625,10.5
"27",1,1.21875,6.72809667673716,3,"NYJ","Sam Darnold","QB",21,2020,13,30,33.1,19.8,1.06666666666667,1.3,222.7,594,993,6681,39,32,91,317,"USC",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,549,846,64.9,7229,8.5,8.7,57,22,153.7,267.740740740741,31.3333333333333,20.3333333333333,2.11111111111111,0.814814814814815,6.5
"28",1,1.83333333333333,6.96082474226804,7,"BUF","Josh Allen","QB",22,2020,17,33,29.3939393939394,17.3030303030303,0.727272727272727,1.33333333333333,204.606060606061,571,970,6752,44,24,227,1242,"Wyoming",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,365,649,56.2,5066,7.8,7.7,44,21,137.7,187.62962962963,24.037037037037,13.5185185185185,1.62962962962963,0.777777777777778,8.5
"29",1,0.631578947368421,5.66733067729084,10,"ARI","Josh Rosen","QB",21,2019,3,20,25.1,13.75,0.95,0.6,142.25,275,502,2845,12,19,26,151,"UCLA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,712,1170,60.9,9340,8,8,59,26,140.1,311.333333333333,39,23.7333333333333,1.96666666666667,0.866666666666667,1.5
"30",1,4.63636363636364,7.47450424929179,32,"BAL","Lamar Jackson","QB",21,2020,33,36,19.6111111111111,12.5,0.305555555555556,1.41666666666667,146.583333333333,450,706,5277,51,11,364,2139,"Louisville",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,619,1086,57,9043,8.3,8.5,69,27,142.9,237.973684210526,28.5789473684211,16.2894736842105,1.81578947368421,0.710526315789474,16.5
"31",3,1.44444444444444,6.23674911660777,76,"PIT","Mason Rudolph","QB",23,2019,3,10,28.3,17.6,0.9,1.3,176.5,176,283,1765,13,9,21,42,"Oklahoma St.",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,915,1447,63.2,13618,9.4,9.9,92,26,159.7,324.238095238095,34.4523809523809,21.7857142857143,2.19047619047619,0.619047619047619,1.5
"32",4,0,0,108,"NYG","Kyle Lauletta","QB",23,2018,0,2,2.5,0,0.5,0,0,0,5,0,0,1,1,-2,"Richmond",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"33",5,NA,NA,171,"DAL","Mike White","QB",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Kentucky",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,863,1393,62,11262,8.1,8.1,74,31,142.9,417.111111111111,51.5925925925926,31.962962962963,2.74074074074074,1.14814814814815,NA
"34",6,0,5.6986301369863,199,"TEN","Luke Falk","QB",23,2019,1,3,24.3333333333333,15.6666666666667,1,0,138.666666666667,47,73,416,0,3,0,0,"Washington St.",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1403,2054,68.3,14481,7.1,7.4,119,39,142.8,344.785714285714,48.9047619047619,33.4047619047619,2.83333333333333,0.928571428571429,0.5
"35",6,NA,NA,203,"JAX","Tanner Lee","QB",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nebraska",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,574,1040,55.2,6744,6.5,5.8,46,37,117.1,217.548387096774,33.5483870967742,18.5161290322581,1.48387096774194,1.19354838709677,NA
"36",7,NA,NA,219,"NWE","Danny Etling","QB",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LSU",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,563,973,57.9,7076,7.3,7.3,43,19,129.6,153.826086956522,21.1521739130435,12.2391304347826,0.934782608695652,0.41304347826087,NA
"37",7,NA,NA,220,"SEA","Alex McGough","QB",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida International",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,807,1335,60.4,9091,6.8,6.5,65,37,128.2,197.630434782609,29.0217391304348,17.5434782608696,1.41304347826087,0.804347826086957,NA
"38",7,NA,NA,249,"CIN","Logan Woodside","QB",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toledo",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,759,1166,65.1,10514,9,9.6,93,25,162.9,244.511627906977,27.1162790697674,17.6511627906977,2.16279069767442,0.581395348837209,NA
